max_depth,min_samples_split,min_samples_leaf,rmse
10,10,5,0.13564357316122327
10,10,1,0.1365585341315661
10,5,5,0.13791779170500476
10,2,1,0.13901381438213706
10,2,5,0.13910130550591432
10,5,1,0.13920032865242424
20,10,5,0.1398394432713601
30,10,5,0.1398394432713601
20,10,1,0.14453448611920058
20,5,5,0.14461280865050202
30,5,5,0.14462511726570262
30,10,1,0.14478590586180226
20,5,1,0.15039931609954652
30,5,1,0.150744532386069
20,2,1,0.15086964775298148
30,2,1,0.1512649156900035
20,2,5,0.2258289690450459
30,2,5,0.22619733349474558
