max_depth,min_samples_split,min_samples_leaf,max_features,rmse
10,10,5,5,2.3659592674663417
10,10,5,10,2.3668933068065217
10,2,5,10,2.372328763991434
10,2,1,10,2.373826586195571
10,2,5,5,2.3743490070780098
10,10,1,10,2.378274965233114
10,10,1,5,2.383481200162918
10,2,1,5,2.387135029574563
5,2,5,5,4.722201733701241
5,2,1,5,4.732804363941879
5,10,5,10,4.735250591684742
5,10,1,5,4.749421305490102
5,10,5,5,4.752894245121697
5,2,5,10,4.768078349545026
5,10,1,10,4.771853478666651
5,2,1,10,4.782102438072305
